12000187,2,2,0,1,1,0
12000593,1,2,1,1,0,0
12000052,2,1,2,2,1,1
12000136,3,1,0,0,1,1
12000204,2,2,1,1,0,1
12000001,2,2,2,1,1,1
12000119,1,1,1,1,1,1
12000017,1,1,0,1,3,1
12000102,1,1,1,1,1,1
12000068,2,1,0,1,1,1
12000085,2,1,1,1,0,0
12000155,2,1,0,1,2,1
12000171,1,0,1,2,1,1
12000038,1,3,1,1,1,1
00041105,1,1,5,1,1,1
00041114,1,2,2,1,2,1
00041048,1,1,2,2,1,1
00041007,2,1,2,1,2,0
00041089,1,2,1,1,1,1
00041146,1,0,4,2,1,0
00041000,1,1,1,2,2,3
00041039,1,1,1,1,1,1
00041095,1,1,1,1,1,1
00041184,1,1,1,1,2,1
00041165,2,1,1,0,2,1
00041133,1,1,1,1,1,1
00041101,1,2,1,3,0,1
00041205,1,1,0,2,0,1
00041110,0,2,3,1,1,2
00041079,1,1,2,2,2,1
00041125,1,2,2,1,2,1
00041166,1,1,4,0,2,0
00041061,2,1,1,2,1,1
00041164,3,0,2,2,1,1
00041195,1,0,2,1,1,2
00041084,2,1,2,2,1,1
00041200,1,0,1,1,1,1
00041019,1,0,2,1,1,1
00041194,1,0,2,0,1,0
00041058,1,1,0,2,1,1
00041020,1,0,4,1,0,0
00041024,1,1,2,2,1,1
00041123,1,1,3,1,1,1
00041144,2,2,0,1,2,1
00041028,1,1,2,3,1,1
00041202,1,0,1,1,0,1
00041012,1,1,1,0,2,0
00041179,1,0,3,1,1,1
00041135,1,1,3,0,1,1
00041113,2,0,1,2,1,1
00041054,0,1,3,2,0,1
00041172,1,3,0,1,1,1
00041026,1,1,3,2,1,1
00041068,2,1,1,1,1,2
00041191,1,0,2,0,0,1
00041150,1,1,1,1,1,1
00041158,2,1,3,0,1,1
00041102,2,1,2,1,1,1
00041131,1,1,1,2,1,2
00041211,1,0,1,1,0,1
00041111,2,1,2,1,1,1
00041207,1,1,0,1,1,0
00041137,2,1,3,0,2,1
00041109,0,0,3,3,1,2
00041036,1,1,2,1,2,1
00041148,3,1,1,1,2,1
00041090,1,1,3,2,1,1
00041099,2,2,1,0,1,1
00041035,3,0,2,1,2,1
00041210,1,0,1,1,1,1
00041057,1,2,1,1,1,1
00041143,1,0,1,3,1,1
00041040,1,1,3,1,2,1
00041119,1,2,1,3,0,0
00041006,1,1,1,3,2,1
00041168,2,0,1,1,2,2
00041209,2,1,1,1,0,0
00041031,2,2,2,0,2,2
00041159,1,1,2,1,1,1
00041002,0,1,0,2,1,3
00041014,1,1,3,1,3,1
00041214,1,0,3,0,0,1
00041013,1,1,2,2,2,1
00041059,2,1,1,1,1,1
00041107,0,0,1,3,2,1
00041042,2,2,1,1,1,1
00041204,1,1,1,1,1,1
00041072,1,2,2,1,1,0
00041082,1,1,2,1,0,2
00041145,2,0,2,2,1,1
00041176,2,1,2,1,1,1
00041041,2,0,3,2,1,2
00041062,1,0,3,0,2,1
00041130,1,0,3,2,1,1
00041139,2,3,0,1,1,1
00041190,1,1,1,1,1,1
00041100,1,1,4,0,1,2
00041065,1,1,1,2,1,2
00041010,1,1,1,3,2,1
00041117,1,0,2,2,2,2
00041201,1,0,2,0,1,1
00041192,1,0,3,1,1,1
00041182,1,0,3,1,1,1
00041128,1,1,1,2,1,1
00041104,2,0,3,1,1,1
00041053,2,1,3,1,1,1
00041126,1,0,4,3,2,2
00041129,2,2,3,1,1,0
00041173,2,1,0,1,1,1
00041149,2,2,2,1,1,1
00041140,1,2,1,2,1,1
00041163,1,1,3,0,1,1
00041141,2,1,1,0,1,1
00041121,1,1,2,1,2,1
00041033,1,1,0,2,1,1
00041074,2,1,1,1,2,1
00041153,2,0,2,1,1,1
00041044,1,1,2,2,1,1
00041080,2,1,0,2,1,1
00041180,1,1,2,2,2,1
00041004,1,1,2,2,1,1
00041116,2,0,2,2,1,2
00041030,1,1,2,2,2,2
00041056,2,1,2,1,1,2
00041208,1,1,1,1,0,0
00041187,1,2,2,1,1,1
00041051,1,1,3,0,1,1
00041120,1,1,1,2,1,2
00041206,1,1,1,1,1,0
00041181,1,1,1,2,1,2
00041098,2,1,0,1,1,1
00041093,2,1,0,2,1,1
00041186,1,1,1,2,0,1
00041055,2,0,2,1,1,1
00041156,1,1,3,2,1,1
00041215,1,0,2,1,1,1
00041106,2,1,0,3,1,1
00041003,1,0,2,0,1,2
00041151,2,1,2,1,0,1
00041008,1,1,1,0,1,1
00041025,2,1,2,1,1,1
00041122,3,2,0,3,0,2
00041108,3,1,2,1,1,1
00041046,1,1,1,1,1,1
00041177,1,1,2,2,0,0
00041174,1,1,2,2,0,1
00041169,1,1,1,1,1,1
00041097,1,2,2,0,1,1
00041009,1,1,2,1,1,0
00041124,1,2,3,1,2,1
00041081,1,1,1,1,1,1
00041052,2,1,3,1,1,1
00041045,1,1,2,2,1,2
00041197,1,0,3,0,1,1
00041094,2,2,1,1,1,1
00041078,1,2,0,1,1,1
00041203,1,0,1,1,1,1
00041085,1,1,1,1,1,1
00041050,1,1,2,1,0,1
00041022,1,1,1,0,1,1
00041188,1,1,1,2,1,1
00041213,1,1,0,1,1,1
00041064,2,2,1,2,1,1
00041032,1,1,2,0,2,2
00041029,0,0,1,0,1,1
00041077,2,1,1,2,1,1
00041127,1,3,1,1,0,1
00041060,1,2,1,2,1,1
00041162,1,1,1,2,1,1
00041017,1,0,2,1,2,3
00041199,1,0,2,0,1,1
00041196,2,0,1,1,1,0
00041075,2,2,0,2,1,2
00041070,1,3,3,0,2,1
00041171,2,1,0,2,1,1
00041220,2,1,1,1,0,1
00041076,2,1,1,1,1,2
00041103,2,1,2,1,2,1
